idiom,num_contexts,contexts
a  veces ,326,"Por  lo  tanto ,  a  veces  los  datos  que  están  disponibles  para  la  recopilación  impactan  la  estrategia  en  línea . ||| Ella  se  acredita  a  veces  como  "" Christina  Tucci "" . ||| Un  popular  escritor  de  la  época  fue  Unno  Juza ,  a  veces  llamado  "" el  padre  de  la  ciencia  ficción  japonesa "" . ||| A  pesar  de  que  los  sistemas  de  salud  en  Polonia  son  gratuitos  para  las  personas  cubiertas  con  seguro  de  salud,​  a  veces  estos  son  lentos . ||| El  evento  de  Tunguska  se  explica  a  veces  de  esta  manera . ||| Este  desempeño  se  utiliza  a  veces  en  lugar  del  vídeo  principal . ||| De  hecho ,  a  veces  debe  elegir  deliberadamente  el  mal . ||| Hannah  también  a  veces  intenta  usar  su  doble  personalidad  como  excusa . ||| Ella  es  también  muy  adinerada  y  a  veces  puede  encontrarse  ayudando  a  Kotaro  con  Chinami . ||| El  presidente  Polk  a  veces  discutía  asuntos  de  política  con  ella ."
por  separado,32,"Una  manera  en  que  esto  se  muestra  es  por  ella  y  Fritz  mantenimiento  de  las  líneas  de  teléfono  por  separado . ||| Aquí  cada  uno  de  estos  términos  se  estima  por  separado ,  utilizando  estimaciones  convencionales . ||| Sin  embargo ,  él  le  informó  que  cada  una  de  sus  respuestas  era  una  canción  que  requeriría  una  licencia  por  separado . ||| La  legislatura  ha  continuado  requiriendo  que  las  ciudades  y  escuelas  operen  por  separado . ||| Los  servicios  de  pasajeros  de  la  ciudad  de  Buenos  Aires ,  incluyendo  las  cinco  líneas  del  subterráneo ,  eran  potencialmente  más  viables  y  fueron  tratados  por  separado . ||| Es  decir ,  que  al  combinar  el  mismo  dominio  C ,  las  proteínas  adquirieron  las  propiedades  regulatorias  únicas  de  los  diferentes  dominios  R  por  separado . ||| Sin  embargo ,  no  está  claro  si  esto  fue  parte  del  acuerdo  con  Python-3  o  un  acuerdo  por  separado . ||| Cada  una  de  las  cuatro  formas  canónicas  será  examinada  por  separado ,  en  relación  a  su  distribución  de  términos . ||| Dicho  Artículo ,  que  se  proporciona  por  separado ,  el  personal  de  secretaría  para  cada  Casa  del  Parlamento ,  se  lee  como  sigue:-  98 . ||| Italia ,  Finlandia ,  Rumania ,  y  Hungría ,  cada  uno  trato  con  Berlín  por  separado ,  y  nunca  coordinaron  sus  actividades ."
siempre  y  cuando ,31,"Él  puede  resistir  cualquier  ataque  físico ,  siempre  y  cuando  sea  consciente  de  ello  por  adelantado . ||| Ofrecen  tomar  al  narrador  a  donde  quiera  -  siempre  y  cuando  se  tenga  un  mensaje  sionista  positivo  para  los  niños . ||| Sin  embargo ,  Elliot  concluye  que ,  siempre  y  cuando  se  mantengan  juntos ,  Pete  siempre  estará  en  peligro . ||| Sin  embargo ,  el  jugador  puede  continuar  al  principio  de  su  sección  actual ,  incluso  si  pierde  toda  su  vida ,  siempre  y  cuando  todavía  tienen  la  energía  izquierda . ||| "" Niego  que  cualquiera  sepa  o  pueda  saber ,  la  naturaleza  de  los  dos  sexos ,  siempre  y  cuando  solo  hayan  sido  vistos  en  su  relación  actual  el  uno  con  el  otro . ||| Sin  embargo ,  la  abuela  Gallagher  decide  ayudar  a  Mary  hacer  su  acto  en  el  show  de  talentos ,  siempre  y  cuando  ella  se  presente  por  sí  misma . ||| Anandamoy  continúa  diciendo  que  los  cisnes  son  como  las  personas  y  siempre  y  cuando  una  de  las  partes  quiere  "" toda  la  tarta ""  habrá  guerra . ||| El  separador  sólo  es  efectivo  siempre  y  cuando  haya  un  espacio  de  aire  dentro  de  la  cámara . ||| El  Departamento  de  Agricultura  ,  Pesca  y  Silvicultura  de  Queensland  ha  encontrado  que  el  fruto  se  conserva  bien  durante  cuatro  a  seis  semanas  ,  siempre  y  cuando  se  mantenga  fuera  de  la  nevera  . ||| En  lo  que  respecta  a  las  consecuencias  del  nulo  resultado  para  el  principio  de  Mach ,  Robert  H.  Dicke  ( 1961 )  demostró  que  esto  está  de  acuerdo  con  el  principio ,  siempre  y  cuando  la  anisotropía  espacial  sea  la  misma  para  todas  las  partículas ."
en  Brasil ,30,"Él  es  llamado  el  ' Guerreiro '  ( guerrero )  en  Brasil  debido  a  su  modo  de  juego  leal  y  agresivo . ||| « La  nueva  especie  de  tapir  recién  descubierta  en  Brasil  y  Colombia  también  habita  en  Pando » . ||| Los  centros  de  acopio  de  la  ayuda  humanitaria  en  Brasil  serían  en  Boa  Vista  y  Paracaima . ||| La  indexación  ha  sido  muy  importante  en  entornos  de  alta  inflación ,  y  se  conoció  como  corrección  monetaria  "" correção  monetária ""  en  Brasil  de  1964  a  1994 . ||| « El  ' plan  verano '  contra  la  inflación  en  Brasil  fracasa  tras  dos  meses  de  vigencia » . ||| El  balance  de  energía  para  el  etanol  de  caña  de  azúcar  producido  en  Brasil  es  mucho  más  favorable ,  de  1  a  8 . ||| Algunos  nuevos  movimientos  como  el  Surrealismo  ya  eran  importantes  en  Europa  y  comenzaron  a  introducirse  en  Brasil  durante  este  período . ||| Publicado  en  Brasil  en  la  revista  Arma  da  Critica ,  N °  4 ,  diciembre  de  2012 ,  indexada  en  Latindex . ||| La  demanda  solicitaba  que  YouTube  fuera  bloqueado  en  Brasil  hasta  que  todas  las  copias  del  video  fueran  removidas . ||| En  consecuencia ,  el  alemán  era  la  segunda  lengua  familiar  más  común  en  Brasil  en  el  censo  de  1940 ."
al  principio,30,"Muy  lentamente  ( como  al  principio ) . ||| Derek  decide  llevar  a  todos  los  internos  a  Nueva  York  con  él ,  que  era  el  objetivo  de  todos  ellos  al  principio . ||| Daniel  Craig  admitió :  « Yo  estaba  inseguro  al  principio . ||| Según  el  IRC  al  principio ,  el  exceso  de  mortalidad  se  estimó  en  3,8  millones  de  muertes​. ||| Europa  y  Asia  optaron  por  1.66  al  principio ,  aunque  el  1.85  ha  permeado  ampliamente  estos  mercados  las  últimas  décadas . ||| El  final  de  la  guerra  vio  a  Austria ,  mal  preparada  al  principio ,  agotada . ||| El  potencial  militar  de  África  fue  el  primero  en  ser  enfatizado  de  manera  diferente  a  su  potencial  económico ...  al  menos  al  principio . ||| Uno  de  los  nuevos  bits  de  memoria  no  funcionó  al  principio ,  pero  fácilmente  fue  cortado  y  sustituido . ||| Para  heredar  de  otra  o  otras ,  una  clase  incluirá  una  cláusula  de  heredar  al  principio :  class  C  inherit  A  B  --  ... ||| Steiner  y  Rain  ( 1989 )  explican ,  que  las  personas  prestan  más  atención  a  la  información  presentada  al  principio ,  pero  progresivamente  prestan  menos  atención  a  la  información  que  se  les  presenta ."
en  función ,30,"Rosa  creía  en  la  libertad  en  función  del  progreso . ||| Las  georgianas ,  o  aquellas  asociadas  con  Georgia ,  se  seleccionan  en  función  del  impacto  del  individuo  en  la  sociedad . ||| « “ Pensar  que  solo  vamos  a  ganar  la  alcaldía  en  función  del  candidato  es  erróneo ” » . ||| Cuando  un  nodo  ICMPv6  recibe  un  paquete ,  debe  realizar  acciones  en  función  del  tipo  de  mensaje . ||| Jerusalén  en  el  el  siglo  XXI  es  percibida  por  los  judíos  israelíes  de  diferentes  maneras ,  en  función  de  sus  creencias  religiosas . ||| Las  Administraciones ,  en  función  del  territorio  sobre  el  que  sean  competentes ,  se  clasifican  en  tres  niveles . ||| El  proxy  se  evalúa  en  función  de  la  capacidad  y  tiene  que  ver  con  la  pregunta  "" ¿ Puedo  hacer  X ? "" . ||| El  nivel  de  financiación  con  cargo  al  FSE  varía  de  una  región  a  otra  en  función  de  su  riqueza  relativa . ||| Esto  le  permitió  transmitir  sentimientos  y  experiencias  diferentes  en  función  de  la  finalidad  de  cada  espacio . ||| La  pesca  deportiva  está  regulada  por  la  concesión  de  licencias  de  pesca  y  el  número  se  calcula  en  función  de  la  capacidad  del  río  o  lago ."
llevan  a  cabo ,29,"En  cada  locación  en  el  Tíbet ,  los  debates  se  llevan  a  cabo  de  acuerdo  a  ocho  programas  al  año  dependiendo  de  los  rituales  y  destivales  observados  durante  el  año  completo . ||| Los  exámenes  de  ingreso  chinos  se  llevan  a  cabo  solo  una  vez  al  año  y  Ma  tardó  cuatro  años  en  aprobarlos . ||| Varios  eventos  sociales  y  deportivos  se  llevan  a  cabo  regularmente  en  el  Parque  St-Jean-Optimiste . ||| En  el  quinto  y  séptimo  años  de  Hogwarts  o  la  escuela  secundaria  muggle ,  se  llevan  a  cabo  exámenes  externos . ||| Las  reuniones  anuales  internacionales  se  llevan  a  cabo  a  finales  de  junio  y  han  organizadas  desde  el  año  1970 . ||| Los  magistrados  también  llevan  a  cabo  el  matrimonio  civil . ||| Las  rondas  locales  ( LRS )  se  llevan  a  cabo  dentro  de  una  Universidad  a  través  de  un  grupo  de  BEST  local  ( Local  BEST  Group ,  LBG ) . ||| En  MQL5  todas  las  operaciones  comerciales  se  llevan  a  cabo  mediante  el  envío  de  solicitudes  de  negociación  utilizando  sólo  una  función  -  OrderSend  ( ) . ||| Algunas  actúan  principalmente  como  grupos  de  presión ,  mientras  que  otras  llevan  a  cabo  principalmente  programas  y  actividades . ||| Kgotla  también  hace  referencia  al  lugar  donde  se  llevan  a  cabo  estas  reuniones ."
al  parecer ,29,"El  productor  Gus  Dudgeon  al  parecer  también  quedó  muy  satisfecho  con  los  resultados . ||| Finalmente  los  agentes  comienzan  a  bailar  sobre  la  mesa ,  al  parecer  volviéndose  locos . ||| Él  es  al  parecer  un  cristiano  ( aunque  su  denominación  es  poco  clara ) . ||| También  ha  dirigido  a  la  Presidencia  de  los  Estados  Unidos  al  menos  en  dos  ocasiones  como  candidato  de  un  tercer  partido ,  al  parecer  pierde . ||| Él  había  muerto  y  con  él  gran  parte  del  optimismo ,  el  idealismo  y  la  ambición  de  Castro  al  parecer  también  murieron . ||| Christina  lo  envió  de  gira  por  las  cortes  europeas ,  al  parecer  también  con  fines  políticos . ||| La  infección  por  HTLV-1  en  los  Estados  Unidos  al  parecer  es  rara . ||| Fue  firmado  por  New  England  Revolution  en  marzo  de  2008  ( al  parecer  por  un  monto  de  $  300.000 ,  aunque  otros  informes  reclamar  la  cantidad  fue  menor ) . ||| María  Thins  al  parecer  jugó  un  papel  importante  en  su  vida . ||| Julie  finalmente  llega  hablando  por  teléfono  celular  al  parecer  con  su  hermano  Alex ."
al  tiempo ,29,"Esto  era  una  novedad  en  Nueva  España  al  tiempo  de  su  construcción . ||| Estados  Unidos  insistió  en  una  autoridad  de  tres  poderes  al  tiempo  que  preservaba  los  derechos  de  los  nativos . ||| Estos  canales  ofrecen  un  mayor  contenido  deportivo  con  eventos  deportivos  locales ,  al  tiempo  que  utilizan  la  alimentación  paneuropea  existente . ||| Les  ofreció  comida  y  bebida  a  mis  guerreros ,  lo  que  acepté ,  al  tiempo  que  expresé  mi  gratitud . ||| Los  escandinavos  adoptaron  muchos  símbolos  europeos  y  mediterráneas  al  tiempo  que  crearon  nuevos  estilos  y  objetos . ||| Esto  ofrece  un  marco  de  políticas  que  apoyará  el  pleno  empleo ,  al  tiempo  que  restringirá  la  inflación . ||| Esto  ayuda  a  disminuir  el  miedo  y  la  frustración  de  tratar  con  un  nuevo  producto  al  tiempo  que  aumenta  las  capacidades  "" . ||| Pero  miré  atrás  a  su  comienzo  y  al  tiempo  antes  de  que  ella  naciera . ||| Aviones  de  combate  estadounidenses  habían  lanzado  158  ataques  en  Irak  durante  las  últimas  cinco  semanas ,  al  tiempo  que  enfatizan  un  conjunto  de  objetivos  relativamente  estrechos . ||| Sin  embargo ,  muchos  indígenas  australianos  también  se  refieren  al  tiempo  de  creación  como  "" El  soñar "" ."
Al  principio ,29,"Al  principio  pensé  que  esta  carta  sería  similar  en  su  contenido  a  la  primera  carta  de  Cese  y  Desista  que  he  recibido  en  el  mes  de  agosto . ||| Al  principio  hubo  un  elevado  índice  de  mortalidad  entre  los  miembros  de  la  Primera  Flota  debido  principalmente  a  la  escasez  de  alimentos . ||| Al  principio  ella  se  niega  a  sonreír  e  incluso  hablar  con  nadie . ||| Al  principio  solo  habló  de  ir  allí  para  masajes . ||| Al  principio  ella  piensa  que  él  está  borracho  y  rechaza  sus  sentimientos . ||| Al  principio  se  negó ,  diciendo :  « Sería  realmente  estimable ,  enviados ,  si  alguien  pensó  que  era  apropiado  restaurar  las  cosas  que  él  había  robado  anteriormente . ||| Al  principio  el  tiempo  de  ejecución  medio  de  5  minutos  fue  alcanzado ,  antes  de  que  los  problemas  de  hardware  aparecieran . ||| Al  principio  el  chip  fue  percibido  por  los  consumidores  como  demasiado  soso . ||| Al  principio  parece  tener  éxito ;  incluso  consigue  que  la  retraída  Denver  salga  de  casa  por  primera  vez  en  años . ||| Al  principio  estaban  tan  asustadas  que  ni  siquiera  reconocieron  sus  propias  caras ."
en  Brasil,28,"La  calificación  es  obligatoria  para  todos  los  juegos  lanzados  en  Brasil . ||| También  en  Brasil ,  ambos  motores  funcionan  con  ethanol . ||| Es  tan  popular  en  el  Perú  como  Muira  Puama  es  en  Brasil . ||| A  diciembre  de  2009 ,  hay  66  niños  estadounidenses  que  fueron  llevados  por  uno  de  sus  padres  a  vivir  en  Brasil . ||| Durante  ese  viaje ,  contrajo  la  malaria ,  pero  sintió  los  síntomas  sólo  tres  semanas  más  tarde ,  en  Brasil . ||| Leticia  permanece  muy  cerca  de  su  familia  y  pasa  unos  meses  cada  año  en  Brasil . ||| Esta  imagen  positiva  fue  creada  por  los  pioneros  en  Brasil . ||| La  variante  C6843  con1seg  TV  tunerse  vendió  en  Brasil . ||| « Proyecciología  -  Una  neociencia  nacida  en  Brasil » . ||| Alrededor  del  85%​  de  todos  los  luteranos  que  viven  en  América  Latina  y  el  Caribe ,  viven  en  Brasil ."
puede  que ,28,"No  culpo  a  estos  hombres ;  puede  que  vosotros  o  yo  hubiéramos  hecho  lo  mismo . ||| La  palabra  "" Moko ""  puede  que  proceda  de  un  dios  de  la  venganza  de  África  Occidental ,  donde  se  originó  la  tradición . ||| Por  lo  tanto ,  los  niños  con  una  alta  resistencia  vascular  pulmonar ,  puede  que  no  toleren  un  procedimiento  de  Fontan . ||| ¿ Es  la  justificación  permanente  o  puede  que  se  pierda ? ||| Especialmente  en  la  frontera  de  los  Estados  Unidos ,  un  juez  puede  que  viaje  a  caballo  junto  a  un  grupo  de  abogados . ||| No  está  claro  el  grado  en  que  se  restauró  la  educación  para  las  niñas  bajo  las  reformas  de  Cleómenes  III ,  pero  puede  que  se  convirtiese  en  voluntario  en  lugar  de  obligatorio . ||| En  el  mejor  de  los  casos ,  puede  que  hayáis  cumplido  los  requisitos  del  curso  en  menos  de  un  semestre ;  en  el  peor ,  puede  que  no  completéis  el  trabajo  en  ese  período . ||| En  estos  niveles ,  puede  que  no  haya  una  rama  ejecutiva  separada ,  y  el  consejo  puede  representar  efectivamente  a  todo  el  gobierno . ||| ¿ O  puede  que  caiga  con  Bagdad ? ||| Nona  ira  a  la  escuela  de  ballet ,  y  puede  que  mantenga  una  relación  a  larga  distancia  con  Ren ."
hasta  la  fecha,27,"Sin  embargo ,  ha  habido  un  Ministro  de  Transporte  en  cada  gobierno  israelí  hasta  la  fecha . ||| Se  conocen ,  hasta  la  fecha ,  tres  grabaciones  de  "" Child  Of  Nature "" . ||| Se  han  publicado  cuatro  series  limitadas  de  Control  de  Daños  hasta  la  fecha . ||| El  resultado  final  es  tal  vez  el  retrato  más  completo  de  Minaj  hasta  la  fecha ... ||| Estos  rasgos  a  menudo  han  sido  reflejados  en  casi  todo  el  material  moderno  sobre  Zhao  Yun  hasta  la  fecha . ||| El  número  de  votos  ( 1.114.900 )  recibidos  por  Grabar-Kitarović  en  la  segunda  ronda  fue  el  número  más  bajo  de  votos  recibidos  por  cualquier  presidente  croata  elegido  hasta  la  fecha . ||| Al  menos  cuatro  sitios  mayas  se  han  descubierto  en  el  Parque  Nacional  de  Payne  Creek  hasta  la  fecha . ||| Aunque ,  hasta  la  fecha ,  solo  han  sido  establecidos  7  profesores  certificados  de  Schillinger . ||| A  pesar  de  sólo  haber  tenido  tres  semifinalistas  en  Miss  Universo  hasta  la  fecha ,  Nicaragua  ha  hecho  un  buen  trabajo  en  otros  certámenes  internacionales  de  belleza . ||| De  esa  manera ,  ' Más  allá  del  Muro '  no  fue  diferente ,  ya  que  posiblemente  contó  con  la  mayor  pérdida  que  la  serie  ha  enfrentado  hasta  la  fecha :  un  dragón  asesinado  por  el  Rey  de  la  Noche ,  y  aún  peor ,  resucitado  por  él "" ."
en  última  instancia,27,"Sí ,  el  cine  y  la  gente  en  mi  vida  y  mi  familia  son  los  más  importantes ,  pero  en  última  instancia ,  a  medida  que  envejece ,  hay  que  ser  más ... ||| Pero  en  última  instancia ,  no  vio  la  luz  del  día  por  varias  razones . ||| Este  intento ,  en  última  instancia ,  significa  capturar  suficiente  energía  y  desviarla  para  las  necesidades  humanas . ||| Whiplash  falla  en  ambas  tareas ;  en  última  instancia ,  Iron  Man  lo  derrota . ||| Los  padres  de  los  Power  Pack  han  alterado  su  memoria  y ,  en  última  instancia ,  tres  de  los  Pack . ||| Las  políticas  de  PEP  se  basan  principalmente  en  el  trabajo  de  Abdullah  Öcalan  y ,  en  última  instancia ,  intentan  ir  más  allá  del  capitalismo  a  favor  del  Confederalismo  Democrático  . ||| Y ,  en  última  instancia ,  sobreviviendo  a  la  autodestrucción  y  la  tragedia ,  la  cual  todos  enfrentamos  en  nuestras  vidas . ||| En  consecuencia ,  este  tipo  de  planificación  descendente  dejará  a  las  comunidades ,  empresas  y ,  en  última  instancia ,  a  los  trabajadores  con  un  nivel  significativo  de  libertad  para  decidir  su  propio  futuro  económico  ( véase  la  planificación  descentralizada ) . ||| En  la  novela ,  Eilis  abandona  Irlanda ,  pero  su  destino  y ,  en  última  instancia ,  su  destino  queda  para  que  el  lector  lo  decida . ||| De  hecho ,  en  última  instancia ,  obtuvo  dos  concesiones  separadas  de  la  Corona ,  aunque  no  la  gran  recompensa  por  identificar  el  Paso  del  Noroeste ."
en  vivo,26,"Yo  creo  que  por  eso  nos  volvimos  más  por  los  instrumentos  en  vivo . ||| Ellis  afirma  haber  tocado  en  vivo ,  al  menos  una  vez ,  en  todos  los  50  estados  de  Estados  Unidos . ||| « El  Gran  Silencio  solo  desea  tocar  en  vivo » . ||| Nunca  volvería  a  grabar  su  voz  sin  una  orquesta  en  vivo . ||| Survive  ( Versión  en  vivo )  Selecciona  ' play  all ' . ||| Estábamos  en  TV ,  en  vivo ,  frente  a  millones  de  personas  y  fue  una  tortura . ||| En  el  año  1967 ,  el  uruguayo  Nelson  Nelson  dirige  varios  teletreatros  en  vivo ,  en  horas  del  mediodía . ||| The  Spirit  Catcher  para  cello  y  electrónica  en  vivo ,  1993  La  Seconde  Ajouteé  para  2  pianos . ||| Según  Visconti ,  el  álbum  contiene  "" alrededor  del  85%  de  David  Bowie  ' en  vivo ' "" . ||| El  proceso  resultó  en  numerosos  errores  y  retomados ,  por  lo  que  es  imposible  grabar  ALF  frente  a  una  audiencia  en  vivo ."
Por  desgracia,26,"Por  desgracia ,  ese  lado  duro  no  se  ve  en  la  primera  temporada . ||| Por  desgracia ,  pronto  los  soviéticos  vinieron  por  Vanko ,  tal  y  como  lo  predijo . ||| Por  desgracia ,  el  equipo  es  derrotado  por  el  equipo  de  Slade  por  segunda  vez . ||| Por  desgracia ,  según  Williams ,  la  mayoría  de  los  estudiantes  y  profesores  de  este  país  tienen  "" ni  siquiera  oído  hablar  de  él ""  ( 2011 ) . ||| Por  desgracia ,  en  el  momento  actual ,  no  hay  planes  para  una  segunda  película  de  South  Park . ||| Por  desgracia ,  la  película  de  DuBowski  va  más  allá . ||| Por  desgracia ,  también  es  probablemente  la  menos  apropiada  de  todas  para  servir  como  una  traducción  precisa  de  de  en  el  Tao  Te  Ching . ||| Por  desgracia ,  ninguno  de  los  cambios  llega  al  corazón  de  las  preocupaciones  de  privacidad  que  los  usuarios  de  Internet  y  grupos  de  defensa  han  expresado "" . ||| Por  desgracia ,  para  algunos  de  nosotros ,  su  último  álbum  puede  no  reflejar  nuestras  fuertes  creencias  en  lo  que  hacemos  todos  los  días  para  ayudar  a  que  la  agricultura  sea  más  sostenible . ||| Por  desgracia ,  no  lograron  moverla  tan  fácilmente  y  cayó  en  uno  de  los  ríos  de  Nueva  York ."
Al  parecer,26,"Al  parecer ,  Richard  había  estado  tomando  fotografías  cuando  ocurrió  el  accidente . ||| Al  parecer ,  ella  mata  al  profesor  que  había  estado  a  cargo  del  programa  después  de  que  Logan  se  fue . ||| Al  parecer ,  se  trata  de  un  método  especial  creado  por  su  abuelo . ||| Al  parecer ,  llegó  a  la  autoconciencia  miles  de  millones  de  años  atrás ,  en  el  planeta  Cygnus  X-1 . ||| Al  parecer ,  la  conciencia  electrónica  de  Nimrod  puede  existir  de  alguna  manera  independientemente  de  su  cuerpo  físico ,  al  menos  temporalmente . ||| Al  parecer ,  Pip  fue  asesinado  por  una  mujer  a  la  que  ayudó  anteriormente . ||| Al  parecer ,  este  es  el  misil  de  Corea  del  Norte  de  mayor  despliegue ,  con  al  menos  400  misiles  en  uso . ||| Al  parecer ,  la  estructura  corresponde  a  la  fase  Azteca  III . ||| Al  parecer ,  no  había  llegado  un  mensaje  de  vital  importancia  enviado  por  Kinkaid  alrededor  de  las  10:00 . ||| Al  parecer ,  la  imagen  de  nuestro  presidente  es  tan  ofensiva  para  MTV  como  lo  es  para  mí ."
En  cualquier  caso,26,"En  cualquier  caso ,  de  acuerdo  con  ( Goloboff ,  1993 ) ,  ninguno  de  los  dos  grupos  parece  ser  monofilético . ||| En  cualquier  caso ,  e  incluso  después  de  eso ,  incluso  durante  el  matrimonio  y  hasta  aproximadamente  la  edad  de  30  años ,  pasarían  la  mayor  parte  del  día  en  los  barracones  con  su  unidad . ||| En  cualquier  caso ,  la  interpretación  establecida  debe  ser  totalmente  revisada  y  debemos  regresar  al  joven  Marx ,  el  Marx  a  través  de  quien  dijo  la  Verdad . ||| En  cualquier  caso ,  el  número  tres  encajaba  a  la  perfección  en  el  modo  en  que  los  quarks  aparecen  en  la  naturaleza . ||| En  cualquier  caso ,  el  incidente  contribuyó  a  deteriorar  la  relación  entre  Edwards  y  la  congregación . ||| En  cualquier  caso ,  en  Luoyang ,  Wang  Wei  no  pudo  evitar  convertirse  oficialmente  en  uno  de  los  rebeldes ,  con  un  título  oficial . ||| En  cualquier  caso ,  las  demandas  de  Bellonet  nunca  fueron  aprobadas  oficialmente  por  el  gobierno  francés  de  Napoleón  III . ||| En  cualquier  caso ,  la  conexión  de  Gaby  con  el  hotel  tuvo  un  efecto  muy  significativo  en  su  futuro . ||| En  cualquier  caso ,  a  comienzos  de  mayo  de  1942  estaba  claro  que  Hitler  no  favorecía  un  juicio . ||| En  cualquier  caso ,  los  resultados  son  lo  que  el  instructor  espera ."
en  última  instancia ,25,"c.  1940-1959 ,  Felisberto  Hernández ,  Explicación  falsa  de  mis  cuentos  No  sabrá  el  grado  y  la  manera  en  que  la  conciencia  intervendrá ,  pero  en  última  instancia  impondrá  su  voluntad .  Y  enseñará  a  la  conciencia  a  ser  desinteresada . ||| En  el  fondo ,  los  barrios  cool  generan  representaciones  sesgadas  de  la  ciudad  y  en  última  instancia  invisibilizan  que  se  trata  de  zonas  que  sufren  fuertes  procesos  de  segregación  y  desigualdad  urbana . ||| Para  Hick ,  Dios  es  en  última  instancia  el  responsable  del  dolor  y  el  sufrimiento ,  pero  éstos  no  son  realmente  malos . ||| Todo  intento  de  remediar  la  situación  por  un  retorno  a  los  "" valores ""  sería  en  última  instancia  un  fracaso . ||| El  término  sugiere  que  la  mujer  a  la  que  se  le  aplica  adoptará  en  última  instancia  una  identidad  estrictamente  heterosexual . ||| Se  la  conoce  como  democracia  burguesa  porque  en  última  instancia  los  políticos  luchan  sólo  por  los  derechos  de  la  burguesía . ||| Ella  muere  en  última  instancia  contra  sus  antiguas  diosas  defensoras  de  Diana . ||| Las  consecuencias  de  sus  técnicas  son  inmediatamente  obvias  y  la  intensa  concentración  y  el  entrenamiento  debe  conducir  en  última  instancia  a  una  interacción  controlada  y  armoniosa . ||| En  junio  de  2005  las  protestas  condujeron  en  última  instancia  a  la  dimisión  del  Mesa . ||| Por  el  contrario ,  argumenta  Rahnema ,  el  "" enfoque  inhumano  y  destructivo  en  última  instancia  para  el  cambio  ha  terminado ."
por  separado ,25,"15% ,  mucho  menos  que  la  suma  de  lo  que  las  dos  partes  habían  obtenido  por  separado  en  1963 . ||| Es  decir ,  si  ' nosotros '  se  refiere  a  los  hombres ,  entonces  ¿ por  qué  se  deben  mencionar  por  separado  los  hijos ? ||| Una  junta  de  investigación  de  accidentes  llamada  "" Investigación  AFR  110-14 "" ,  publicó  un  informe  por  separado  en  1995 . ||| Al  considerar  la  infancia  relativamente  independiente  de  Kim ,  Suh  no  cree  que  Kim  tuviera  un  amor  especial  por  sus  padres  que  requeriría  museos  y  estatuas  por  separado  para  cada  uno . ||| El  libro  enseña  por  separado  a  Ver  y  Fal  para  verdadero  y  falso . ||| Carlos  viajó  a  Los  Ángeles  donde  él  y  López  grabaron  sus  partes  por  separado  antes  de  la  reunión . ||| El  último  capítulo  de  El  Mundo  estuvo  publicado  por  separado  como  De  Homine  ( Sobre  el  Hombre )  en  1662 . ||| Es  posible  que  los  dos  últimos  capítulos  fueron  originalmente  concebidos  para  un  tratamiento  por  separado  del  clero . ||| Se  cree  que  todos  los  satélites  retrógrados  se  formaron  por  separado  antes  de  ser  capturados  por  sus  planetas . ||| El  término  magnetograma  tiene  dos  significados ,  utilizados  por  separado  en  los  contextos  de  campos  magnéticos  del  Sol  y  la  Tierra ."
por  mucho ,25,"Chōsuke  Literalmente  "" bendecido  por  mucho  tiempo "" . ||| Sangara  capituló  pero  no  por  mucho  tiempo . ||| "" Ciento  veinte  sapos ,  veinticuatro  clientes ,  no  exactamente  brillante ,  no  te  quedarás  aquí  por  mucho  tiempo  si  no  trabajas  mejor . "" ||| Aunque  Aeronca  vendió  una  cantidad  de  sus  otros  diseños  después  del  cese  de  la  producción ,  la  compañía  mantuvo  por  mucho  tiempo  la  propiedad  del  Sedan . ||| Su  lujosa  residencia  ubicada  sobre  el  Paseo  30  de  junio ,  Villa  Algeria ,  quedó  abandonada  por  mucho  tiempo . ||| La  pareja  imperial  no  sostendría  su  capital  por  mucho  tiempo . ||| Los  fundadores  tuvieron  la  intención  de  que  se  mantuvieran  sus  tradiciones  culturales  por  mucho  tiempo . ||| Sin  embargo ,  los  intentos  anteriores  de  alto  el  fuego  han  colapsado  o  no  han  logrado  reducir  la  violencia  por  mucho  tiempo . ||| Aunque  Minjung  no  reinó  por  mucho  tiempo ,  fue  capaz  de  evitar  conflictos  militares  y  mantuvo  la  paz  a  través  de  la  mayor  parte  del  reino . ||| Ha  mantenido  esa  fuerza ,  especialmente  en  filosofía  y  teología  por  mucho  tiempo  después  de  la  Segunda  Guerra  Mundial ."
