mwe,frequency,length,type,idiomaticity_score,is_idiomatic,known_idiom
ese eres tú,0,3,noun_phrase,0.500,False,False
"no, gracias a ti",0,4,noun_phrase,0.500,False,False
eres un héroe,0,3,noun_phrase,0.500,False,False
aléjate de él.,0,3,noun_phrase,0.500,False,False
todos los cielos,0,3,noun_phrase,0.500,False,False
¿y tu padre,0,3,noun_phrase,0.500,False,False
es su cumpleaños,0,3,noun_phrase,0.500,False,False
y una mierda,0,3,noun_phrase,0.500,False,False
"bien, buenas noches",0,3,noun_phrase,0.500,False,False
¿y el bebé,0,3,noun_phrase,0.500,False,False
¿y tú qué?,0,3,noun_phrase,0.500,False,False
muchas gracias por venir.,0,4,noun_phrase,0.500,False,False
¿qué más quieres,0,3,noun_phrase,0.500,False,False
una idea mejor,0,3,noun_phrase,0.500,False,False
olvídate de eso.,0,3,noun_phrase,0.500,False,False
es mi amigo,0,3,noun_phrase,0.500,False,False
¿y tú eres?,0,3,noun_phrase,0.500,False,False
", por dios",0,3,noun_phrase,0.500,False,False
eres un ángel,0,3,noun_phrase,0.500,False,False
era un buen hombre,0,4,noun_phrase,0.500,False,False
"buenos días, cariño.",0,3,noun_phrase,0.500,False,False
eres un tonto,0,3,noun_phrase,0.500,False,False
feliz año nuevo,0,3,noun_phrase,0.500,False,False
no fue un accidente,0,4,noun_phrase,0.500,False,False
las damas primero,0,3,noun_phrase,0.500,False,False
gracias de nuevo.,0,3,noun_phrase,0.500,False,False
"claro, ¿por qué",0,3,noun_phrase,0.500,False,False
ya es hora,0,3,noun_phrase,0.500,False,False
¡oh dios mío!,0,3,noun_phrase,0.500,False,False
¿cuánto tiempo llevas,0,3,noun_phrase,0.500,False,False
la próxima vez,0,3,noun_phrase,0.500,False,False
pero es verdad,0,3,noun_phrase,0.500,False,False
¿por cuánto tiempo,0,3,noun_phrase,0.500,False,False
son mis amigos,0,3,noun_phrase,0.500,False,False
"bueno, muchas gracias",0,3,noun_phrase,0.500,False,False
recibí tu mensaje.,0,3,noun_phrase,0.500,False,False
voy en camino,0,3,noun_phrase,0.500,False,False
qué buena idea,0,3,noun_phrase,0.500,False,False
somos un equipo,0,3,noun_phrase,0.500,False,False
", ¿y tú",0,3,noun_phrase,0.500,False,False
fue un accidente,0,3,noun_phrase,0.500,False,False
ya era hora,0,3,noun_phrase,0.500,False,False
somos una familia,0,3,noun_phrase,0.500,False,False
"pero, ¿por qué",0,3,noun_phrase,0.500,False,False
"bla, bla, bla.",0,3,noun_phrase,0.500,False,False
toda mi vida,0,3,noun_phrase,0.500,False,False
dilo otra vez.,0,3,noun_phrase,0.500,False,False
¿que fue eso,0,3,noun_phrase,0.500,False,False
"bueno, buenas noches",0,3,noun_phrase,0.500,False,False
qué agradable sorpresa,0,3,noun_phrase,0.500,False,False
lo mismo digo,0,3,noun_phrase,0.500,False,False
¿y después qué,0,3,noun_phrase,0.500,False,False
madre de dios.,0,3,noun_phrase,0.500,False,False
es por eso,0,3,noun_phrase,0.500,False,False
"gracias, sr. presidente.",0,3,noun_phrase,0.500,False,False
eres hombre muerto,0,3,noun_phrase,0.500,False,False
", por favor",0,3,noun_phrase,0.500,False,False
soy tu padre,0,3,noun_phrase,0.500,False,False
dame tu mano.,0,3,noun_phrase,0.500,False,False
es tu cumpleaños,0,3,noun_phrase,0.500,False,False
los viejos tiempos,0,3,noun_phrase,0.500,False,False
la semana pasada,0,3,noun_phrase,0.500,False,False
un buen día,0,3,noun_phrase,0.500,False,False
¿por qué preguntas,0,3,noun_phrase,0.500,False,False
ni una palabra,0,3,noun_phrase,0.500,False,False
soy su padre,0,3,noun_phrase,0.500,False,False
una y otra vez,0,4,noun_phrase,0.500,False,False
es mi padre,0,3,noun_phrase,0.500,False,False
es mi hija,0,3,noun_phrase,0.500,False,False
es mi vida,0,3,noun_phrase,0.500,False,False
ni siquiera lo pienses,0,4,noun_phrase,0.500,False,False
estoy de vacaciones,0,3,noun_phrase,0.500,False,False
no fue mi culpa,0,4,noun_phrase,0.500,False,False
gusto en conocerte.,0,3,noun_phrase,0.500,False,False
"buenas noches, mamá.",0,3,noun_phrase,0.500,False,False
es mi madre,0,3,noun_phrase,0.500,False,False
¡hijos de perra!,0,3,noun_phrase,0.500,False,False
", mi amor",0,3,noun_phrase,0.500,False,False
y a mí,0,3,noun_phrase,0.500,False,False
", ¿de verdad",0,3,noun_phrase,0.500,False,False
¿y el otro,0,3,noun_phrase,0.500,False,False
"sí, su señoría",0,3,noun_phrase,0.500,False,False
"sí, ¿por qué",0,3,noun_phrase,0.500,False,False
todos los días,0,3,noun_phrase,0.500,False,False
eres mi héroe.,0,3,noun_phrase,0.500,False,False
"muy bien, muchachos",0,3,noun_phrase,0.500,False,False
estoy en problemas,0,3,noun_phrase,0.500,False,False
¿que es eso,0,3,noun_phrase,0.500,False,False
¿es de verdad,0,3,noun_phrase,0.500,False,False
todo el mundo,0,3,noun_phrase,0.500,False,False
¡a un lado,0,3,noun_phrase,0.500,False,False
solo un poco,0,3,noun_phrase,0.500,False,False
gracias por esto,0,3,noun_phrase,0.500,False,False
gracias por su tiempo,0,4,noun_phrase,0.500,False,False
encantado de conocerte.,0,3,noun_phrase,0.500,False,False
fue en defensa propia,0,4,noun_phrase,0.500,False,False
es tu elección,0,3,noun_phrase,0.500,False,False
¿por qué tú,0,3,noun_phrase,0.500,False,False
estamos en guerra,0,3,noun_phrase,0.500,False,False
"sí, mi señor",0,3,noun_phrase,0.500,False,False
¿quién diablos eres,0,3,noun_phrase,0.500,False,False
están todos muertos,0,3,noun_phrase,0.500,False,False
eres un encanto,0,3,noun_phrase,0.500,False,False
es mi trabajo,0,3,noun_phrase,0.500,False,False
gracias por su cooperación,0,4,noun_phrase,0.500,False,False
¿es una amenaza,0,3,noun_phrase,0.500,False,False
es mi casa,0,3,noun_phrase,0.500,False,False
¿y entonces qué,0,3,noun_phrase,0.500,False,False
son buenas noticias,0,3,noun_phrase,0.500,False,False
te lo juro,0,3,noun_phrase,0.500,False,False
gracias por el consejo,0,4,noun_phrase,0.500,False,False
policía de nueva york.,0,4,noun_phrase,0.500,False,False
"sí, es verdad",0,3,noun_phrase,0.500,False,False
sólo un segundo,0,3,noun_phrase,0.500,False,False
¿de qué hablas,0,3,noun_phrase,0.500,False,False
eres un buen hombre,0,4,noun_phrase,0.500,False,False
sólo una vez,0,3,noun_phrase,0.500,False,False
¿es tu novia,0,3,noun_phrase,0.500,False,False
"buenas noches, caballeros.",0,3,noun_phrase,0.500,False,False
es mi turno,0,3,noun_phrase,0.500,False,False
¿qué diablos haces,0,3,noun_phrase,0.500,False,False
deshazte de él.,0,3,noun_phrase,0.500,False,False
es mi mujer,0,3,noun_phrase,0.500,False,False
eres un cobarde,0,3,noun_phrase,0.500,False,False
¿de que hablas,0,3,noun_phrase,0.500,False,False
¿alguna otra cosa,0,3,noun_phrase,0.500,False,False
pero ¿por qué,0,3,noun_phrase,0.500,False,False
es tu padre,0,3,noun_phrase,0.500,False,False
¿y los otros,0,3,noun_phrase,0.500,False,False
eres mi mejor amigo,0,4,noun_phrase,0.500,False,False
es para usted,0,3,noun_phrase,0.500,False,False
como en los viejos tiempos,0,5,noun_phrase,0.500,False,False
gracias por la comida,0,4,noun_phrase,0.500,False,False
un placer conocerte,0,3,noun_phrase,0.500,False,False
es lo mismo,0,3,noun_phrase,0.500,False,False
¿y el resto,0,3,noun_phrase,0.500,False,False
¡a la carga,0,3,noun_phrase,0.500,False,False
será un placer,0,3,noun_phrase,0.500,False,False
me das asco,0,3,noun_phrase,0.500,False,False
"buenas noches, cariño.",0,3,noun_phrase,0.500,False,False
¿y los niños,0,3,noun_phrase,0.500,False,False
"sí, muchas gracias",0,3,noun_phrase,0.500,False,False
eres un genio,0,3,noun_phrase,0.500,False,False
qué bueno verte,0,3,noun_phrase,0.500,False,False
pero tú sí.,0,3,noun_phrase,0.500,False,False
¡hija de puta!,0,3,noun_phrase,0.500,False,False
voy de camino,0,3,noun_phrase,0.500,False,False
¿y tu madre,0,3,noun_phrase,0.500,False,False
", date prisa",0,3,noun_phrase,0.500,False,False
"sí, me acuerdo",0,3,noun_phrase,0.500,False,False
es tu madre,0,3,noun_phrase,0.500,False,False
ahora es tu turno,0,4,noun_phrase,0.500,False,False
¿a cambio de qué,0,4,noun_phrase,0.500,False,False
sdi media group,0,3,noun_phrase,0.500,False,False
y otra cosa,0,3,noun_phrase,0.500,False,False
", ¿qué tal?",0,3,noun_phrase,0.500,False,False
detrás de ti,0,3,noun_phrase,0.500,False,False
¡largo de aquí!,0,3,noun_phrase,0.500,False,False
¿qué carajo haces,0,3,noun_phrase,0.500,False,False
es mi culpa,0,3,noun_phrase,0.500,False,False
fue un placer conocerte,0,4,noun_phrase,0.500,False,False
¿y el tuyo,0,3,noun_phrase,0.500,False,False
dios los bendiga,0,3,noun_phrase,0.500,False,False
bien por ti,0,3,noun_phrase,0.500,False,False
gracias a todos,0,3,noun_phrase,0.500,False,False
¿qué llevas puesto,0,3,noun_phrase,0.500,False,False
¿de qué diablos,0,3,noun_phrase,0.500,False,False
es mi cumpleaños,0,3,noun_phrase,0.500,False,False
¿por qué razón,0,3,noun_phrase,0.500,False,False
eres mi hijo.,0,3,noun_phrase,0.500,False,False
¿no lo sabías,0,3,noun_phrase,0.500,False,False
", gracias a dios",0,4,noun_phrase,0.500,False,False
eres un buen chico,0,4,noun_phrase,0.500,False,False
estamos en problemas,0,3,noun_phrase,0.500,False,False
¡sal de ahí!,0,3,noun_phrase,0.500,False,False
¿y a ti,0,3,noun_phrase,0.500,False,False
era una broma,0,3,noun_phrase,0.500,False,False
no fue tu culpa,0,4,noun_phrase,0.500,False,False
pedazo de mierda.,0,3,noun_phrase,0.500,False,False
¿por qué gritas,0,3,noun_phrase,0.500,False,False
es tu hermano,0,3,noun_phrase,0.500,False,False
"buenas noches, señora.",0,3,noun_phrase,0.500,False,False
gracias por eso,0,3,noun_phrase,0.500,False,False
"sí, un momento",0,3,noun_phrase,0.500,False,False
todo esta bien,0,3,noun_phrase,0.500,False,False
¿en qué sentido,0,3,noun_phrase,0.500,False,False
ni en sueños,0,3,noun_phrase,0.500,False,False
toda la razón,0,3,noun_phrase,0.500,False,False
¿pero qué dices,0,3,noun_phrase,0.500,False,False
¿estás segura de eso?,0,4,noun_phrase,0.500,False,False
es lo que,25,3,ngram,0.400,False,False
eso es lo que,10,4,ngram,0.400,False,False
lo estoy.,4,2,ngram,0.400,False,False
no sé.,4,2,ngram,0.400,False,False
seguro de,4,2,ngram,0.400,False,False
¿cómo está,4,2,ngram,0.400,False,False
es correcto.,4,2,ngram,0.400,False,False
lo sabes?,4,2,ngram,0.400,False,False
¿y tú,4,2,ngram,0.400,False,False
demasiado tarde.,4,2,ngram,0.400,False,False
lo hagas.,4,2,ngram,0.400,False,False
¿cómo es,4,2,ngram,0.400,False,False
alegro de,4,2,ngram,0.400,False,False
he visto.,4,2,ngram,0.400,False,False
ni idea.,4,2,ngram,0.400,False,False
vete a,4,2,ngram,0.400,False,False
¿qué estamos,4,2,ngram,0.400,False,False
es justo.,4,2,ngram,0.400,False,False
¿quieres que,4,2,ngram,0.400,False,False
¿quién está,4,2,ngram,0.400,False,False
te preocupes.,4,2,ngram,0.400,False,False
no digas,4,2,ngram,0.400,False,False
a ir.,4,2,ngram,0.400,False,False
tu ayuda.,4,2,ngram,0.400,False,False
decirte algo.,4,2,ngram,0.400,False,False
por ti.,4,2,ngram,0.400,False,False
es real.,4,2,ngram,0.400,False,False
lo digas.,4,2,ngram,0.400,False,False
algo que,4,2,ngram,0.400,False,False
lo está.,4,2,ngram,0.400,False,False
¿eso es,4,2,ngram,0.400,False,False
que quieres?,4,2,ngram,0.400,False,False
es asunto,4,2,ngram,0.400,False,False
ya te,4,2,ngram,0.400,False,False
quieres que,4,2,ngram,0.400,False,False
¿vas a,4,2,ngram,0.400,False,False
con él?,4,2,ngram,0.400,False,False
¿con quién,4,2,ngram,0.400,False,False
por qué.,4,2,ngram,0.400,False,False
lo conozco.,4,2,ngram,0.400,False,False
¿para qué,4,2,ngram,0.400,False,False
buen día.,4,2,ngram,0.400,False,False
que hago.,4,2,ngram,0.400,False,False
lo haría.,4,2,ngram,0.400,False,False
ninguna parte.,4,2,ngram,0.400,False,False
ya veo.,4,2,ngram,0.400,False,False
todo va,4,2,ngram,0.400,False,False
¿tienes un,4,2,ngram,0.400,False,False
qué me,4,2,ngram,0.400,False,False
muy amable.,4,2,ngram,0.400,False,False
es importante.,4,2,ngram,0.400,False,False
"sí, eso",4,2,ngram,0.400,False,False
¿lo has,4,2,ngram,0.400,False,False
vete al,4,2,ngram,0.400,False,False
lo son.,4,2,ngram,0.400,False,False
te quiero.,4,2,ngram,0.400,False,False
la vida.,4,2,ngram,0.400,False,False
es perfecto.,4,2,ngram,0.400,False,False
¿qué coño,4,2,ngram,0.400,False,False
una pregunta.,4,2,ngram,0.400,False,False
no creo,4,2,ngram,0.400,False,False
llegar tarde.,4,2,ngram,0.400,False,False
por eso,4,2,ngram,0.400,False,False
una broma.,4,2,ngram,0.400,False,False
y yo.,4,2,ngram,0.400,False,False
para mí.,4,2,ngram,0.400,False,False
un hombre.,4,2,ngram,0.400,False,False
que es.,4,2,ngram,0.400,False,False
en mí.,4,2,ngram,0.400,False,False
es genial.,4,2,ngram,0.400,False,False
muchas gracias.,4,2,ngram,0.400,False,False
todos lo,4,2,ngram,0.400,False,False
de llegar.,4,2,ngram,0.400,False,False
el momento.,4,2,ngram,0.400,False,False
así de,4,2,ngram,0.400,False,False
se acabó.,4,2,ngram,0.400,False,False
lo harás.,4,2,ngram,0.400,False,False
mira lo,4,2,ngram,0.400,False,False
por mí.,4,2,ngram,0.400,False,False
un accidente.,4,2,ngram,0.400,False,False
lo mismo.,4,2,ngram,0.400,False,False
"no, lo",4,2,ngram,0.400,False,False
un error.,4,2,ngram,0.400,False,False
te importa?,4,2,ngram,0.400,False,False
con eso?,4,2,ngram,0.400,False,False
¿qué haces,4,2,ngram,0.400,False,False
es él.,4,2,ngram,0.400,False,False
yo no.,4,2,ngram,0.400,False,False
lo hace.,4,2,ngram,0.400,False,False
espera un,4,2,ngram,0.400,False,False
¿cual es,4,2,ngram,0.400,False,False
eso está,4,2,ngram,0.400,False,False
pasa con,4,2,ngram,0.400,False,False
hora de,4,2,ngram,0.400,False,False
he dicho,4,2,ngram,0.400,False,False
¿qué hace,4,2,ngram,0.400,False,False
ya es,4,2,ngram,0.400,False,False
¿no me,4,2,ngram,0.400,False,False
es imposible.,4,2,ngram,0.400,False,False
de acuerdo?,4,2,ngram,0.400,False,False
lo vi.,4,2,ngram,0.400,False,False
al baño.,4,2,ngram,0.400,False,False
no sabes,4,2,ngram,0.400,False,False
te ha,4,2,ngram,0.400,False,False
"sí, me",4,2,ngram,0.400,False,False
¿y eso,4,2,ngram,0.400,False,False
eso me,4,2,ngram,0.400,False,False
me estás,4,2,ngram,0.400,False,False
ya casi,4,2,ngram,0.400,False,False
yo también.,4,2,ngram,0.400,False,False
la tengo.,4,2,ngram,0.400,False,False
eres tú?,4,2,ngram,0.400,False,False
¿qué carajo,4,2,ngram,0.400,False,False
puedo hacer.,4,2,ngram,0.400,False,False
¿qué se,4,2,ngram,0.400,False,False
"si, lo",4,2,ngram,0.400,False,False
me conoces.,4,2,ngram,0.400,False,False
en problemas.,4,2,ngram,0.400,False,False
el arma.,4,2,ngram,0.400,False,False
mi palabra.,4,2,ngram,0.400,False,False
"no, es",4,2,ngram,0.400,False,False
¡fuera de,4,2,ngram,0.400,False,False
¿me estás,4,2,ngram,0.400,False,False
así es.,4,2,ngram,0.400,False,False
ya no,4,2,ngram,0.400,False,False
"oh, dios",4,2,ngram,0.400,False,False
dios mio.,4,2,ngram,0.400,False,False
te preocupes,4,2,ngram,0.400,False,False
preocupes por,4,2,ngram,0.400,False,False
lo hicimos.,4,2,ngram,0.400,False,False
es nada.,4,2,ngram,0.400,False,False
de puta!,4,2,ngram,0.400,False,False
que tengas,4,2,ngram,0.400,False,False
"bien, está",4,2,ngram,0.400,False,False
lo soy.,4,2,ngram,0.400,False,False
ven a,4,2,ngram,0.400,False,False
"buenos días,",4,2,ngram,0.400,False,False
buenas noches.,4,2,ngram,0.400,False,False
¿qué puedo,4,2,ngram,0.400,False,False
seguro que,4,2,ngram,0.400,False,False
haces aquí?,4,2,ngram,0.400,False,False
con esto.,4,2,ngram,0.400,False,False
estamos bien.,3,2,ngram,0.400,False,False
justo aquí.,3,2,ngram,0.400,False,False
estás aquí.,3,2,ngram,0.400,False,False
cuidado con,3,2,ngram,0.400,False,False
soy tu,3,2,ngram,0.400,False,False
lo dijo.,3,2,ngram,0.400,False,False
un placer,3,2,ngram,0.400,False,False
placer conocerte.,3,2,ngram,0.400,False,False
por venir.,3,2,ngram,0.400,False,False
vale la,3,2,ngram,0.400,False,False
es increíble.,3,2,ngram,0.400,False,False
en ti.,3,2,ngram,0.400,False,False
has visto?,3,2,ngram,0.400,False,False
fue culpa,3,2,ngram,0.400,False,False
culpa tuya.,3,2,ngram,0.400,False,False
haz lo,3,2,ngram,0.400,False,False
tú no,3,2,ngram,0.400,False,False
¿cómo estás?,3,2,ngram,0.400,False,False
puede que,3,2,ngram,0.400,False,False
lo saben.,3,2,ngram,0.400,False,False
es divertido.,3,2,ngram,0.400,False,False
lo era.,3,2,ngram,0.400,False,False
¿quién lo,3,2,ngram,0.400,False,False
lo hizo?,3,2,ngram,0.400,False,False
sé quién,3,2,ngram,0.400,False,False
quién es.,3,2,ngram,0.400,False,False
es interesante.,3,2,ngram,0.400,False,False
nueva york.,3,2,ngram,0.400,False,False
un monstruo.,3,2,ngram,0.400,False,False
se ve,3,2,ngram,0.400,False,False
y eso,3,2,ngram,0.400,False,False
lo harán.,3,2,ngram,0.400,False,False
dónde está.,3,2,ngram,0.400,False,False
qué está,3,2,ngram,0.400,False,False
a hacerlo.,3,2,ngram,0.400,False,False
ha terminado.,3,2,ngram,0.400,False,False
es extraño.,3,2,ngram,0.400,False,False
acabo de,3,2,ngram,0.400,False,False
¿cuánto tiempo,3,2,ngram,0.400,False,False
ir a,3,2,ngram,0.400,False,False
¿y yo,3,2,ngram,0.400,False,False
decir eso.,3,2,ngram,0.400,False,False
no era,3,2,ngram,0.400,False,False
está haciendo?,3,2,ngram,0.400,False,False
tu problema?,3,2,ngram,0.400,False,False
estará bien.,3,2,ngram,0.400,False,False
he hecho.,3,2,ngram,0.400,False,False
"no, en",3,2,ngram,0.400,False,False
he dicho.,3,2,ngram,0.400,False,False
que haga?,3,2,ngram,0.400,False,False
a pasar.,3,2,ngram,0.400,False,False
¿qué crees,3,2,ngram,0.400,False,False
él está,3,2,ngram,0.400,False,False
está muerto.,3,2,ngram,0.400,False,False
"espera, espera,",3,2,ngram,0.400,False,False
"espera, espera.",3,2,ngram,0.400,False,False
lo voy,3,2,ngram,0.400,False,False
no hice,3,2,ngram,0.400,False,False
dios santo.,3,2,ngram,0.400,False,False
puedo hacerlo.,3,2,ngram,0.400,False,False
de dios.,3,2,ngram,0.400,False,False
tiene nada,3,2,ngram,0.400,False,False
el mejor.,3,2,ngram,0.400,False,False
no necesito,3,2,ngram,0.400,False,False
lo tienes.,3,2,ngram,0.400,False,False
ven aquí.,3,2,ngram,0.400,False,False
"bien, señor.",3,2,ngram,0.400,False,False
un desastre.,3,2,ngram,0.400,False,False
una cosa.,3,2,ngram,0.400,False,False
te parece?,3,2,ngram,0.400,False,False
una hora.,3,2,ngram,0.400,False,False
buenas noticias.,3,2,ngram,0.400,False,False
¿quién diablos,3,2,ngram,0.400,False,False
diablos es,3,2,ngram,0.400,False,False
es usted?,3,2,ngram,0.400,False,False
hablar de,3,2,ngram,0.400,False,False
mi señor.,3,2,ngram,0.400,False,False
lo juro.,3,2,ngram,0.400,False,False
es difícil,3,2,ngram,0.400,False,False
se fue.,3,2,ngram,0.400,False,False
me parece,3,2,ngram,0.400,False,False
pasa aquí?,3,2,ngram,0.400,False,False
de pie.,3,2,ngram,0.400,False,False
tengo mucho,3,2,ngram,0.400,False,False
que quieras.,3,2,ngram,0.400,False,False
a trabajar.,3,2,ngram,0.400,False,False
tengo nada,3,2,ngram,0.400,False,False
no volverá,3,2,ngram,0.400,False,False
volverá a,3,2,ngram,0.400,False,False
es horrible.,3,2,ngram,0.400,False,False
"oh, por",3,2,ngram,0.400,False,False
tiempo para,3,2,ngram,0.400,False,False
en absoluto.,3,2,ngram,0.400,False,False
así fue.,3,2,ngram,0.400,False,False
a funcionar.,3,2,ngram,0.400,False,False
el arma!,3,2,ngram,0.400,False,False
mi trabajo.,3,2,ngram,0.400,False,False
"oh, no,",3,2,ngram,0.400,False,False
estoy segura.,3,2,ngram,0.400,False,False
lo hará.,3,2,ngram,0.400,False,False
lo estás.,3,2,ngram,0.400,False,False
es terrible.,3,2,ngram,0.400,False,False
es necesario.,3,2,ngram,0.400,False,False
mi amigo.,3,2,ngram,0.400,False,False
de menos.,3,2,ngram,0.400,False,False
que sea,3,2,ngram,0.400,False,False
dame la,3,2,ngram,0.400,False,False
"¿qué pasa,",3,2,ngram,0.400,False,False
es así.,3,2,ngram,0.400,False,False
has estado?,3,2,ngram,0.400,False,False
se vaya.,3,2,ngram,0.400,False,False
¿qué estoy,3,2,ngram,0.400,False,False
"por aquí,",3,2,ngram,0.400,False,False
quédate con,3,2,ngram,0.400,False,False
con nosotros.,3,2,ngram,0.400,False,False
ya voy.,3,2,ngram,0.400,False,False
te diré,3,2,ngram,0.400,False,False
una pesadilla.,3,2,ngram,0.400,False,False
vuelve a,3,2,ngram,0.400,False,False
soy un,3,2,ngram,0.400,False,False
un idiota.,3,2,ngram,0.400,False,False
yo tampoco.,3,2,ngram,0.400,False,False
qué hacer.,3,2,ngram,0.400,False,False
está mejor.,3,2,ngram,0.400,False,False
bueno verte.,3,2,ngram,0.400,False,False
de encima!,3,2,ngram,0.400,False,False
confiar en,3,2,ngram,0.400,False,False
está pasando,3,2,ngram,0.400,False,False
hay nadie,3,2,ngram,0.400,False,False
"bien, entonces.",3,2,ngram,0.400,False,False
de ninguna,3,2,ngram,0.400,False,False
lo estoy,3,2,ngram,0.400,False,False
estoy hablando.,3,2,ngram,0.400,False,False
fue mi,3,2,ngram,0.400,False,False
la vuelta.,3,2,ngram,0.400,False,False
¿qué vas,3,2,ngram,0.400,False,False
no veo,3,2,ngram,0.400,False,False
el dinero.,3,2,ngram,0.400,False,False
a dios.,3,2,ngram,0.400,False,False
dónde está?,3,2,ngram,0.400,False,False
ha sido,3,2,ngram,0.400,False,False
¿qué tal?,3,2,ngram,0.400,False,False
eso es.,3,2,ngram,0.400,False,False
aquí vamos.,3,2,ngram,0.400,False,False
tal vez,3,2,ngram,0.400,False,False
vez no.,3,2,ngram,0.400,False,False
de nada.,3,2,ngram,0.400,False,False
se acabó,3,2,ngram,0.400,False,False
aquí estoy.,3,2,ngram,0.400,False,False
¿qué más,3,2,ngram,0.400,False,False
hacer eso?,3,2,ngram,0.400,False,False
es fantástico.,3,2,ngram,0.400,False,False
tu madre.,3,2,ngram,0.400,False,False
hacer nada.,3,2,ngram,0.400,False,False
en paz!,3,2,ngram,0.400,False,False
¿te sientes,3,2,ngram,0.400,False,False
a suceder.,3,2,ngram,0.400,False,False
te he,3,2,ngram,0.400,False,False
"favor, por",3,2,ngram,0.400,False,False
es este,3,2,ngram,0.400,False,False
está pasando.,3,2,ngram,0.400,False,False
¿de que,3,2,ngram,0.400,False,False
puedes hacerlo.,3,2,ngram,0.400,False,False
ya no.,3,2,ngram,0.400,False,False
lo dijiste?,3,2,ngram,0.400,False,False
qué hacemos?,3,2,ngram,0.400,False,False
hora es?,3,2,ngram,0.400,False,False
ya sé.,3,2,ngram,0.400,False,False
¿qué fue,3,2,ngram,0.400,False,False
estamos aquí.,3,2,ngram,0.400,False,False
lo hiciste?,3,2,ngram,0.400,False,False
es mucho.,3,2,ngram,0.400,False,False
¿dónde diablos,3,2,ngram,0.400,False,False
muy dulce.,3,2,ngram,0.400,False,False
mi dios.,3,2,ngram,0.400,False,False
¿qué tienes,3,2,ngram,0.400,False,False
ella está,3,2,ngram,0.400,False,False
está muerta.,3,2,ngram,0.400,False,False
la cabeza.,3,2,ngram,0.400,False,False
"no, estoy",3,2,ngram,0.400,False,False
un momento?,3,2,ngram,0.400,False,False
la puerta,3,2,ngram,0.400,False,False
que ir,3,2,ngram,0.400,False,False
lo recuerdo.,3,2,ngram,0.400,False,False
yo sí.,3,2,ngram,0.400,False,False
que vas?,3,2,ngram,0.400,False,False
es diferente.,3,2,ngram,0.400,False,False
tu turno.,3,2,ngram,0.400,False,False
dame tu,3,2,ngram,0.400,False,False
con calma.,3,2,ngram,0.400,False,False
un asesino.,3,2,ngram,0.400,False,False
gusto en,3,2,ngram,0.400,False,False
ve a,3,2,ngram,0.400,False,False
eres muy,3,2,ngram,0.400,False,False
mi hijo.,3,2,ngram,0.400,False,False
están aquí.,3,2,ngram,0.400,False,False
"bien, de",3,2,ngram,0.400,False,False
"bien, vamos.",3,2,ngram,0.400,False,False
es maravilloso.,3,2,ngram,0.400,False,False
¿cómo puedes,3,2,ngram,0.400,False,False
tenemos un,3,2,ngram,0.400,False,False
su nombre?,3,2,ngram,0.400,False,False
eres tú.,3,2,ngram,0.400,False,False
siempre lo,3,2,ngram,0.400,False,False
mira quién,3,2,ngram,0.400,False,False
he hecho,3,2,ngram,0.400,False,False
a nadie.,3,2,ngram,0.400,False,False
de eso,3,2,ngram,0.400,False,False
es grandioso.,3,2,ngram,0.400,False,False
con eso.,3,2,ngram,0.400,False,False
es malo.,3,2,ngram,0.400,False,False
mejor que,3,2,ngram,0.400,False,False
es ridículo.,3,2,ngram,0.400,False,False
te llamaré,3,2,ngram,0.400,False,False
los ojos.,3,2,ngram,0.400,False,False
tu padre.,3,2,ngram,0.400,False,False
le importa.,3,2,ngram,0.400,False,False
tu madre?,3,2,ngram,0.400,False,False
dije eso.,3,2,ngram,0.400,False,False
mí también.,3,2,ngram,0.400,False,False
más preguntas.,3,2,ngram,0.400,False,False
te conozco.,3,2,ngram,0.400,False,False
de ahí!,3,2,ngram,0.400,False,False
nada más.,3,2,ngram,0.400,False,False
lo fue.,3,2,ngram,0.400,False,False
que decir.,3,2,ngram,0.400,False,False
si no,3,2,ngram,0.400,False,False
"te quiero,",3,2,ngram,0.400,False,False
me has,3,2,ngram,0.400,False,False
dame el,3,2,ngram,0.400,False,False
se supone,3,2,ngram,0.400,False,False
supone que,3,2,ngram,0.400,False,False
del camino!,3,2,ngram,0.400,False,False
o menos.,3,2,ngram,0.400,False,False
en eso.,3,2,ngram,0.400,False,False
"bueno, no",3,2,ngram,0.400,False,False
"dos, tres.",3,2,ngram,0.400,False,False
gran cosa.,3,2,ngram,0.400,False,False
a ninguna,3,2,ngram,0.400,False,False
también te,3,2,ngram,0.400,False,False
me preocupa.,3,2,ngram,0.400,False,False
ya está,3,2,ngram,0.400,False,False
me estoy,3,2,ngram,0.400,False,False
toda la,3,2,ngram,0.400,False,False
su majestad.,3,2,ngram,0.400,False,False
toca a,3,2,ngram,0.400,False,False
¿en serio?,3,2,ngram,0.400,False,False
¿qué va,3,2,ngram,0.400,False,False
es seguro.,3,2,ngram,0.400,False,False
la puerta!,3,2,ngram,0.400,False,False
me acuerdo.,3,2,ngram,0.400,False,False
es hermoso.,3,2,ngram,0.400,False,False
estar aquí.,3,2,ngram,0.400,False,False
tengo miedo.,3,2,ngram,0.400,False,False
pasa nada.,3,2,ngram,0.400,False,False
espere un,3,2,ngram,0.400,False,False
es que...,3,2,ngram,0.400,False,False
demonios está,3,2,ngram,0.400,False,False
"dios, no.",3,2,ngram,0.400,False,False
estoy seguro.,3,2,ngram,0.400,False,False
